gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4430891969	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/132695668	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Río Negro	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-41.113639	-70.832684	2654.0						2022-08-28T14:20:29	28	8	2022	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	132695668		Ariadna Tripaldi	2022-08-28T21:45:01	CC_BY_4_0	Ariadna Tripaldi	Ariadna Tripaldi			2025-07-04T14:07:09.833Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4430672439	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/187656064	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Entre Ríos	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-30.966501	-58.739615	2464.0						2023-10-15T09:30:48	15	10	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	187656064		Norberto Muzzachiodi	2023-10-15T17:10:44	CC_BY_NC_4_0	Norberto Muzzachiodi	Norberto Muzzachiodi			2025-07-04T14:05:55.391Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4430537246	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/187267143	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Corrientes	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-28.542444	-57.173787							2023-08-22T15:25	22	8	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	187267143		Diego Alfonso Rosa	2023-10-12T17:34:31	CC_BY_NC_4_0	Diego Alfonso Rosa	Diego Alfonso Rosa			2025-07-04T14:02:10.652Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4424671664	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/186994304	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Entre Ríos	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-31.38462	-59.707928	1.0						2023-10-05T18:56	5	10	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	186994304		Norberto Muzzachiodi	2023-10-10T14:25:09	CC_BY_NC_4_0	Norberto Muzzachiodi	Norberto Muzzachiodi			2025-07-04T14:06:07.394Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4424475462	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/186993357	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Entre Ríos	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-31.38462	-59.707928	1.0						2023-09-28T23:32	28	9	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	186993357		Norberto Muzzachiodi	2023-10-10T14:14:58	CC_BY_NC_4_0	Norberto Muzzachiodi	Norberto Muzzachiodi			2025-07-04T14:02:08.214Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4421212957	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/185633616	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		La Pampa	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-36.910526	-64.257418	61.0						2023-09-30T10:34	30	9	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	185633616		Hugo	2023-09-30T20:58:15	CC_BY_NC_4_0	Hugo	Hugo			2025-07-04T14:08:03.455Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4420918090	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/185495081	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Corrientes	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-28.133951	-56.491807	2.0						2023-09-23T05:59	23	9	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	185495081		Pablo Preliasco	2023-09-29T22:50:19	CC_BY_NC_4_0	Pablo Preliasco	Pablo Preliasco			2025-07-04T14:04:16.807Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4420735877	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/185633617	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		La Pampa	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-36.911727	-64.257418	61.0						2023-09-30T10:33	30	9	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	185633617		Hugo	2023-09-30T20:58:15	CC_BY_NC_4_0	Hugo	Hugo			2025-07-04T14:06:19.993Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4416997412	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/184633906	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Entre Ríos	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-31.389601	-59.718078	1.0						2023-08-16T04:02	16	8	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	184633906		Norberto Muzzachiodi	2023-09-24T02:53:10	CC_BY_NC_4_0	Norberto Muzzachiodi	Norberto Muzzachiodi			2025-07-04T14:08:20.277Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4416976212	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/184781375	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Corrientes	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-28.132863	-56.493517							2023-09-20T15:38:03	20	9	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	184781375		Tomás Gendra	2023-09-26T02:51:48	CC_BY_NC_4_0	Pablo Preliasco	Pablo Preliasco			2025-07-04T14:02:01.097Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
