ID,Genero,sp,Local,Tratamento,LTh,TiL,TarL,FL,AL,FL,HL_M,ED,HW,HL_Rostro,Larg_Boca,Timpano,Disco_Ades_M,Disco_Ades_P,CRC,Massa (gramas)
2553,Pseudopaludicola,Pseudopaludicola_falcipes,D,undisturbed,6.78,7.52,4.57,7.82,3.02,3.03,4.51,1.44,1.85,5.25,3.67,0.49,NA,NA,15.69,0.25
2554,Pseudopaludicola,Pseudopaludicola_falcipes,D,undisturbed,6.11,6.83,4.49,6.39,2.45,2.48,2.44,0.99,0.95,5.37,3.26,0.41,NA,NA,13.09,0.25
2555,Boana,Boana_pulchella,D,undisturbed,19.27,18.86,11.51,15.92,5.65,7.23,10.71,3.40,2.13,11.08,7.93,1.63,0.81,0.66,36.33,1.80
2556,Dendropsophus,Dendropsophus_sanborni,D,undisturbed,7.79,8.65,6.24,7.32,3.20,3.02,5.18,1.65,1.18,5.71,4.80,0.64,0.79,0.70,18.88,0.35
2557,Dendropsophus,Dendropsophus_sanborni,D,undisturbed,7.03,8.57,6.06,7.95,3.37,2.84,5.17,1.34,1.34,5.79,4.64,0.71,0.58,0.52,18.98,0.35
2558,Pseudopaludicola,Pseudopaludicola_falcipes,D,undisturbed,7.07,8.07,5.07,8.81,2.64,2.49,3.37,1.49,1.18,4.93,4.10,0.43,NA,NA,14.45,0.20
2559,Physalaemus,Physalaemus_gracilis,D,undisturbed,13.80,14.32,6.62,15.22,5.00,6.47,7.44,1.70,0.98,11.07,8.39,1.53,NA,NA,30.97,1.50
2560,Pseudopaludicola,Pseudopaludicola_falcipes,D,undisturbed,6.17,7.13,3.82,6.62,2.69,2.41,2.90,0.94,1.34,4.72,2.84,0.48,NA,NA,12.99,0.20
2561,Pseudopaludicola,Pseudopaludicola_falcipes,D,undisturbed,5.39,5.85,4.75,7.81,2.11,1.61,2.95,0.75,1.48,6.27,3.25,0.30,NA,NA,13.46,0.25
2562,Pseudopaludicola,Pseudopaludicola_falcipes,D,undisturbed,6.25,6.70,4.36,5.65,2.58,2.48,3.31,1.09,1.36,5.79,3.23,0.55,NA,NA,13.87,0.40
2563,Pseudis,Pseudis_minuta,D,undisturbed,20.69,17.77,8.46,18.77,7.04,6.68,9.63,2.88,3.51,12.91,8.29,2.06,NA,NA,32.77,3.40
2564,Pseudis,Pseudis_minuta,D,undisturbed,18.13,17.69,9.19,15.67,6.40,6.30,12.33,2.93,3.23,15.92,9.13,1.82,NA,NA,34.39,2.85
2565,Pseudis,Pseudis_minuta,D,undisturbed,22.85,21.91,10.49,22.31,6.27,9.69,12.09,3.51,4.13,14.75,11.46,3.11,NA,NA,40.56,7.65
2566,Pseudis,Pseudis_minuta,D,undisturbed,15.52,17.48,9.40,16.60,6.56,7.47,10.84,2.77,3.76,10.95,8.54,2.94,NA,NA,31.50,2.55
2567,Pseudis,Pseudis_minuta,D,undisturbed,18.23,16.96,8.07,15.38,7.55,7.82,10.32,2.83,3.81,11.99,9.35,2.19,NA,NA,33.47,3.00
2568,Pseudis,Pseudis_minuta,E,undisturbed,20.17,17.33,8.73,17.34,5.93,6.47,8.10,2.80,2.89,11.60,10.29,2.27,NA,NA,34.74,2.70
2569,Pseudis,Pseudis_minuta,E,undisturbed,23.41,22.89,14.76,24.59,11.19,10.96,13.65,7.84,8.00,18.20,11.24,2.27,NA,NA,41.16,2.95
2570,Pseudis,Pseudis_minuta,B,disturbed,20.47,17.19,8.11,15.57,4.18,6.36,9.06,3.05,8.83,11.27,9.49,2.12,NA,NA,31.31,2.90
2571,Pseudis,Pseudis_minuta,B,disturbed,22.47,17.65,8.89,14.02,4.66,6.89,12.45,2.76,2.89,12.55,10.39,1.90,NA,NA,35.08,2.85
2572,Pseudis,Pseudis_minuta,B,disturbed,16.06,17.06,8.35,15.54,5.27,5.73,10.36,2.50,2.24,11.45,9.17,2.01,NA,NA,30.79,1.55
